Province_State,Country_Region,Lat,Long_,Active
Andaman and Nicobar Islands,India,11.225999,92.968178,58
Andhra Pradesh,India,15.9129,79.74,3588
Arunachal Pradesh,India,27.768456,96.384277,99
Assam,India,26.357149,92.830441,3292
Bihar,India,25.679658,85.60484,5343
Chandigarh,India,30.733839,76.768278,436
Chhattisgarh,India,21.264705,82.035366,12363
Dadra and Nagar Haveli and Daman and Diu,India,20.194742,73.080901,11
Delhi,India,28.646519,77.10898,6075
Goa,India,15.359682,74.057396,1008
Gujarat,India,22.694884,71.590923,10570
Haryana,India,29.20004,76.332824,3847
Himachal Pradesh,India,31.927213,77.233081,2806
Jammu and Kashmir,India,33.75943,76.612638,3264
Jharkhand,India,23.654536,85.557631,1787
Karnataka,India,14.70518,76.166436,12161
Kerala,India,10.450898,76.405749,70349
Ladakh,India,34.1526,77.5771,254
Madhya Pradesh,India,23.541513,78.289633,10122
Maharashtra,India,19.449759,76.108221,57510
Manipur,India,24.738975,93.882541,1172
Meghalaya,India,25.536934,91.278882,167
Mizoram,India,23.309381,92.83822,113
Nagaland,India,26.06702,94.470302,204
Odisha,India,20.505428,84.418059,2558
Puducherry,India,11.882658,78.86498,416
Punjab,India,30.841465,75.40879,3925
Rajasthan,India,26.583423,73.847973,10165
Sikkim,India,27.571671,88.472712,539
Tamil Nadu,India,11.006091,78.400624,9409
Telangana,India,18.1124,79.0193,6106
Tripura,India,23.746783,91.743565,112
Uttar Pradesh,India,26.925425,80.560982,15094
Uttarakhand,India,30.156447,79.197608,5074
West Bengal,India,23.814082,87.979803,13112
