Province_State,Country_Region,Lat,Long_,Active,,,,,,,
Andaman and Nicobar Islands,India,10.127,77.247,58,,,,,,,
Andhra Pradesh,India,10.21,79.63,3588,,,,,,,
Arunachal Pradesh,India,12.056,80.11,99,,,,,,,
Assam,India,11.341,79.53,3292,,,,,,,
Bihar,India,12.54,80.09,5343,,,,,,,
Chandigarh,India,11.067,77.11,436,,,,,,,
Chhattisgarh,India,8.12,77.42,12363,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,India,12.056,80.41,11,,,,,,,
Delhi,India,11.47,79.52,6075,,,,,,,
Goa,India,9.63,78.21,1008,,,,,,,
Gujarat,India,9.15,79.28,10570,,,,,,,
Haryana,India,10.53,77.34,3847,,,,,,,
Himachal Pradesh,India,12.13,78.13,2806,,,,,,,
Jammu and Kashmir,India,10.26,78.05,3264,,,,,,,
Jharkhand,India,11.32,76.46,1787,,,,,,,
Karnataka,India,13.17,80.22,12161,,,,,,,
Kerala,India,11.23,77.46,70349,,,,,,,
Ladakh,India,11.49,79.52,254,,,,,,,
Madhya Pradesh,India,13.07,80.17,10122,,,,,,,
Maharashtra,India,12.63,78.55,57510,,,,,,,
Manipur,India,12.48,77.52,1172,,,,,,,
Meghalaya,India,12.39,78.37,167,,,,,,,
Mizoram,India,12.49,78.4,113,,,,,,,
Nagaland,India,11.24,76.44,204,,,,,,,
Odisha,India,10.36,77.17,2558,,,,,,,
Puducherry,India,11.11,79.2,416,,,,,,,
Punjab,India,12.16,78.35,3925,,,,,,,
Rajasthan,India,12.41,78.39,10165,,,,,,,
Sikkim,India,12.55,79.11,539,,,,,,,
Tamil Nadu,India,11.57,79.32,9409,,,,,,,
Telangana,India,9.35,77.57,6106,,,,,,,
Tripura,India,11.32,79.24,112,,,,,,,
Uttar Pradesh,India,12.31,79.31,15094,,,,,,,
Uttarakhand,India,11.48,78.13,5074,,,,,,,
West Bengal,India,10..11,77.51,13112,,,,,,,
