Province_State,Country_Region,Lat,Long_,Active
Andaman and Nicobar Islands,India,10.127,77.247,3000
Andhra Pradesh,India,10.21,79.63,5610
Arunachal Pradesh,India,12.056,80.11,464
Assam,India,11.341,79.53,12113
Bihar,India,12.54,80.09,3545
Chandigarh,India,11.067,77.11,13939
Chhattisgarh,India,8.12,77.42,11980
Dadra and Nagar Haveli and Daman and Diu,India,12.056,80.41,4719
Delhi,India,11.47,79.52,13729
Goa,India,9.63,78.21,5974
Gujarat,India,9.15,79.28,13487
Haryana,India,10.53,77.34,6391
Himachal Pradesh,India,12.13,78.13,13303
Jammu and Kashmir,India,10.26,78.05,10664
Jharkhand,India,11.32,76.46,11468
Karnataka,India,13.17,80.22,4346
Kerala,India,11.23,77.46,3765
Ladakh,India,11.49,79.52,4324
Madhya Pradesh,India,13.07,80.17,10558
Maharashtra,India,12.63,78.55,1822
Manipur,India,12.48,77.52,8588
Meghalaya,India,12.39,78.37,7660
Mizoram,India,12.49,78.4,8328
Nagaland,India,11.24,76.44,11626
Odisha,India,10.36,77.17,11497
Puducherry,India,11.11,79.2,12796
Punjab,India,12.16,78.35,5910
Rajasthan,India,12.41,78.39,4656
Sikkim,India,12.55,79.11,6419
Tamil Nadu,India,11.57,79.32,486
Telangana,India,9.35,77.57,1764
Tripura,India,11.32,79.24,5033
Uttar Pradesh,India,12.31,79.31,142
Uttarakhand,India,11.48,78.13,5922
West Bengal,India,10.11,77.51,1104
